step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.356220453003402,0,0.0,0.9265695644324663,0,0.0,0.9269296668782405,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9315897575760912,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.910650178072077,0,0.0,0.9242694251234325,0,0.0,0.9338882458356255,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9323443607978203,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.872425747462463,0,0.0,0.9348708411982769,0,0.0,0.9483950262678145,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8521195980903873,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9420804706307491,0,0.0,0.9489183182834229,0,0.0,0.8588296513720128,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8610326458311098,0,0.0,1.0,0,0.0
15.0,3,3.0,0.075,11.149730514597636,1,1.0,0.7508100257449027,0,0.0,0.9284494005443048,0,0.0,1.0,0,0.0,1.0,1,1.0,0.6072662832809527,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9432524578830399,0,0.0,0.9519577380384945,1,1.0,0.6547562692118339,0,0.0,0.9452269329415591,0,0.0,1.0,0,0.0,0.9301006690832487,0,0.0,0.9365712304378052,0,0.0,0.7003309042645719,3,3.0
20.0,9,29.0,0.5178571428571429,10.8135721089756,3,9.0,0.6416545575352007,0,0.0,0.957243782292083,0,0.0,1.0,0,0.0,1.0,3,10.0,0.4514059139048702,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9636649947951449,0,0.0,0.9390272821379123,3,10.0,0.6629501761717185,0,0.0,0.9672645353217071,0,0.0,0.8957733877248667,0,0.0,0.9716912884208843,0,0.0,0.9519354327878964,0,0.0,0.9806537906581944,9,29.0
25.0,0,0.0,0.0,10.72624542220303,0,5.0,0.6863297689085948,0,2.0,0.8635768893641433,0,0.0,1.0,0,0.0,1.0,0,5.0,0.648206416751057,0,2.0,0.42111907893650913,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9547503969232901,0,0.0,0.9594186725648896,0,6.0,0.6119029108528287,0,4.0,0.6189608857457989,0,0.0,0.9190694643146291,0,0.0,0.9619849635414204,0,0.0,0.9693844103773636,0,0.0,0.7653165755992085,0,24.0
30.0,5,15.0,0.1875,11.822139015718355,1,5.0,0.6560609272957937,0,4.0,0.8800707999113706,0,0.0,0.9947975557099235,0,0.0,0.9452343609698733,0,0.0,0.9250347321076635,0,4.0,0.8809549110498646,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9311326700854226,0,0.0,0.9684842815372328,2,6.0,0.6899095073050623,0,4.0,0.8895165996406025,0,0.0,0.9198961687699722,0,0.0,0.9431983572724371,0,0.0,0.9371548537244019,2,4.0,0.6767658953452562,5,27.0
35.0,8,39.0,0.40625,11.533538916985348,4,21.0,0.56369191467446,0,4.0,0.9439723867739037,0,4.0,0.778114451549906,0,0.0,0.943679387151548,0,0.0,0.9718654315582911,0,4.0,0.9422326143058362,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9676178496725196,0,0.0,0.955861311734475,4,18.0,0.4764183084507411,0,4.0,0.9007788084560521,0,0.0,0.9616706848571981,0,0.0,0.9657099095670644,0,0.0,0.9555515246080728,0,0.0,0.7050057069243922,8,55.0
40.0,9,46.0,0.4107142857142857,10.581559337181927,0,16.0,0.6000167048206874,1,6.0,0.5554142099863066,0,4.0,0.9021914034754172,0,0.0,0.9568309509962782,0,0.0,0.9737061760563467,0,0.0,0.9275075932053521,0,0.0,0.9397693782271456,0,0.0,0.9557936136351821,0,0.0,0.9631358056153075,0,0.0,0.9541298507200575,4,42.0,0.455861616003863,2,8.0,0.6197045624058743,0,0.0,0.9868406436569599,0,0.0,0.9759654716131035,0,0.0,0.9739521633764558,2,2.0,0.7050424794398796,9,78.0
45.0,12,44.0,0.36666666666666664,10.171325134244201,2,5.0,0.6343146460954079,7,29.0,0.3297617073807786,0,4.0,0.8699503452946561,0,0.0,0.9495813849887517,0,0.0,0.9593961645961185,0,0.0,0.9590746209013142,0,0.0,0.9093353474159707,0,0.0,0.9482905984953549,0,0.0,0.9542486421497695,0,0.0,0.9755624423065344,0,22.0,0.716685734164292,0,4.0,0.5231575687503761,0,2.0,0.754156169621916,0,0.0,0.937086944234339,0,4.0,0.7449990417482711,3,14.0,0.5800594728329738,12,84.0
