step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.20118673871551,0,0.0,0.92484610389788,0,0.0,0.9618879343867037,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9617610694329368,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9643671730710797,0,0.0,0.9632606073408154,0,0.0,0.960696670561432,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9643671730710797,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.553360793094985,0,0.0,0.9697600384966503,0,0.0,0.9856007174824115,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9246275777102223,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9858817065590255,0,0.0,0.9850266637003605,0,0.0,0.9803379497745199,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.931807912532575,0,0.0,1.0,0,0.0
15.0,1,1.0,0.025,12.020839508182636,1,1.0,0.736529964129295,0,0.0,0.9366575699417217,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9873251160366191,0,0.0,0.6793087730597469,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8225844571279637,0,0.0,0.7999425051685896,0,0.0,0.9826103943745542,0,0.0,0.8518880893103499,0,0.0,0.9940575649023807,0,0.0,0.9939164259852381,0,0.0,0.9776656574405654,0,0.0,0.6978950144279839,1,1.0
20.0,5,20.0,0.35714285714285715,10.972006049364836,3,12.0,0.6085951535946339,0,0.0,0.828884874727535,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9802760841374901,0,0.0,0.9134612496260581,0,0.0,1.0,0,0.0,1.0,1,4.0,0.545977450687016,1,4.0,0.5570591037283108,0,0.0,0.9781024776652814,0,0.0,0.9761579336428756,0,0.0,0.9722942281413904,0,0.0,0.8858572506900135,0,0.0,0.9816362992826876,0,0.0,0.8953531070167254,5,20.0
25.0,14,71.0,0.9861111111111112,9.736160917062328,4,30.0,0.5989611391638918,2,5.0,0.7315015492593193,0,0.0,1.0,0,0.0,0.5732163956286799,0,0.0,0.7361034367964999,0,0.0,0.9745873255664143,0,0.0,1.0,0,0.0,1.0,4,18.0,0.4065453414269391,4,18.0,0.4098827293373745,0,0.0,0.9358725085419731,0,0.0,0.856598338517065,0,0.0,0.02397370831184003,0,0.0,1.0,0,0.0,0.9874588998743139,0,0.0,0.97110274540706,14,71.0
30.0,6,19.0,0.2375,8.216434623564206,1,20.0,0.53512044645,0,1.0,0.5800518877636451,0,0.0,0.9806033036966385,0,0.0,0.9056529617765889,2,7.0,0.4680934905698955,0,0.0,1.0,0,0.0,0.9768934985903778,0,0.0,1.0,0,14.0,0.4325741047648269,0,13.0,0.3933723055844348,1,5.0,0.5666220212698817,1,4.0,0.591808280193527,1,5.0,0.7321240836081013,0,0.0,1.0,0,0.0,0.9802549385646587,0,0.0,0.9826582759483081,6,69.0
35.0,12,49.0,0.5104166666666666,8.654449787322585,3,12.0,0.629380084069937,4,12.0,0.4393745935414683,0,0.0,0.9408109720361996,0,0.0,0.9774638105680442,0,2.0,0.5284175532499172,0,0.0,1.0,0,0.0,0.9466949041127115,0,0.0,1.0,0,3.0,0.5631053305783457,0,3.0,0.557570611573657,2,14.0,0.7018555160640148,2,17.0,0.3319779264681167,0,4.0,0.8281361678226608,0,4.0,0.4667597992940806,1,2.0,0.6772203496265802,0,0.0,0.9807542856504619,12,73.0
40.0,22,130.0,1.1607142857142858,8.607476697171505,4,29.0,0.5476886781300928,4,32.0,0.49031936782073365,0,2.0,0.7775681552411253,0,0.0,0.702128296814607,0,0.0,0.7130507725528618,0,4.0,0.5259870616501984,0,0.0,0.7185263626429509,0,0.0,0.8294314094225556,1,2.0,0.647932051826313,3,8.0,0.3783442615430353,4,29.0,0.6552389856255434,2,27.0,0.5914993487227981,1,5.0,0.6366496274600183,0,4.0,0.8026821344933909,3,11.0,0.4901988977040059,0,0.0,1.0,22,153.0
45.0,23,124.0,1.0333333333333334,7.989210197012123,1,21.0,0.4920860531941067,0,23.0,0.497886235272494,0,2.0,0.9433517113118041,0,0.0,0.8522880762876353,2,5.0,0.3675553428165218,0,4.0,0.8835250214177583,0,0.0,1.0,0,0.0,0.9022282418952446,1,11.0,0.6753921830075733,7,36.0,0.22099369984448605,1,18.0,0.5302390806677948,2,37.0,0.6692292520367646,4,17.0,0.6160123604747356,0,2.0,0.9715463566426661,5,30.0,0.4279558350219085,0,0.0,1.0,23,206.0
